Initial Velocity,Extension Lookup Table
38.0,"[[0.0, 72.710053279421], [0.1, 70.8240353843122], [0.2, 70.89856027504152], [0.3, 70.64045826265806], [0.4, 70.49007042584878], [0.5, 71.19732533953231], [0.6, 70.25523035533547], [0.7, 70.72433425314], [0.8, 70.64392678404818], [0.9, 71.56077002217137], [1.0, 69.74862470238236]]"
37.0,"[[0.0, 69.07658523383634], [0.1, 67.39583926144735], [0.2, 68.85271731464445], [0.3, 67.93151997540326], [0.4, 68.63129455033288], [0.5, 67.61033740639493], [0.6, 68.37785168655194], [0.7, 67.15811523739319], [0.8, 68.2216579918163], [0.9, 68.15007416019932], [1.0, 66.1529609945602]]"
36.0,"[[0.0, 63.79582002276777], [0.1, 63.51573119965474], [0.2, 63.96722933388082], [0.3, 63.911160642801065], [0.4, 64.98123416318947], [0.5, 63.40677971157311], [0.6, 63.0315870442148], [0.7, 62.93970644901651], [0.8, 64.52150919290762], [0.9, 62.74452240458686], [1.0, 62.71581613247599]]"
35.0,"[[0.0, 60.107095755457635], [0.1, 61.74521851677946], [0.2, 61.89517421617586], [0.3, 60.27881236011956], [0.4, 61.44119365429458], [0.5, 60.11440184686796], [0.6, 59.594134605784234], [0.7, 59.53679092604182], [0.8, 61.35441658377556], [0.9, 61.46855049996054], [1.0, 60.93195892634901]]"
34.0,"[[0.0, 57.32527088790289], [0.1, 58.16927386032319], [0.2, 57.76957138491741], [0.3, 57.37654897173229], [0.4, 56.3879900821305], [0.5, 56.26625233686468], [0.6, 57.88788754765494], [0.7, 57.97026735687791], [0.8, 57.74432676681511], [0.9, 56.77921990195955], [1.0, 57.554406788721394]]"
33.0,"[[0.0, 54.342170274289515], [0.1, 53.41710417066099], [0.2, 54.2237622099193], [0.3, 54.66547804262905], [0.4, 54.7187953331221], [0.5, 54.351696631814434], [0.6, 52.947341255548054], [0.7, 54.719316546805885], [0.8, 53.251406909650655], [0.9, 54.37709247980831], [1.0, 53.075765945450144]]"
32.0,"[[0.0, 51.15738693204639], [0.1, 50.11024125725385], [0.2, 51.795207300245465], [0.3, 49.986108186541856], [0.4, 50.703436181401116], [0.5, 51.42765730961651], [0.6, 51.361963739417206], [0.7, 49.750469728426765], [0.8, 51.53941304942339], [0.9, 50.41087106338216], [1.0, 50.290985283935356]]"
31.0,"[[0.0, 49.02446829300527], [0.1, 48.62662444703119], [0.2, 48.48333573553725], [0.3, 48.39430992392215], [0.4, 48.34550413849354], [0.5, 47.26411987719848], [0.6, 46.968847528566585], [0.7, 47.873171459244645], [0.8, 48.15043185435218], [0.9, 48.35450795339341], [1.0, 46.766306793193394]]"
30.0,"[[0.0, 45.5252685442], [0.1, 45.47648707047074], [0.2, 45.12727694472858], [0.3, 46.08177702021635], [0.4, 44.75587165426805], [0.5, 45.469540557821574], [0.6, 43.926654830223356], [0.7, 44.638683999213754], [0.8, 44.88467895186761], [0.9, 45.17946594990349], [1.0, 44.624607309561725]]"
29.0,"[[0.0, 42.57174623378569], [0.1, 42.08797325459], [0.2, 42.484120093296724], [0.3, 41.11262818209366], [0.4, 42.39660931229059], [0.5, 42.35310042172807], [0.6, 42.00818247614063], [0.7, 40.86766947172259], [0.8, 42.21161921982707], [0.9, 40.7864313237684], [1.0, 42.161939266098784]]"
28.0,"[[0.0, 40.053188347082596], [0.1, 39.67323089902459], [0.2, 39.78927684064365], [0.3, 39.66376666858264], [0.4, 38.569124803562886], [0.5, 39.65635988583824], [0.6, 39.546250730707015], [0.7, 39.449401910540814], [0.8, 39.717590192204284], [0.9, 39.36528639963069], [1.0, 39.35312354210964]]"
27.0,"[[0.0, 36.72178677864929], [0.1, 37.163559124509675], [0.2, 36.52859297668897], [0.3, 35.98031988899845], [0.4, 35.625759754226806], [0.5, 36.78106940657892], [0.6, 35.71706107544742], [0.7, 36.74682748236842], [0.8, 36.70784621146163], [0.9, 36.70097221397111], [1.0, 36.645537177253686]]"
26.0,"[[0.0, 34.29898727705972], [0.1, 34.329372569735824], [0.2, 33.196979752564175], [0.3, 34.2045159976027], [0.4, 34.06067568959077], [0.5, 34.15543722807422], [0.6, 34.55268373175761], [0.7, 33.17386038425468], [0.8, 33.830790255333795], [0.9, 34.04797191151806], [1.0, 34.00433541796508]]"
25.0,"[[0.0, 31.069015343157275], [0.1, 31.335284108647556], [0.2, 32.02006637948591], [0.3, 31.249051837771844], [0.4, 31.944430824839515], [0.5, 31.172300544404038], [0.6, 31.812795309377975], [0.7, 30.595208942853674], [0.8, 31.28165083566944], [0.9, 30.764786392573], [1.0, 31.051114762005]]"
24.0,"[[0.0, 29.010554094698136], [0.1, 29.213234528479006], [0.2, 29.245992001495324], [0.3, 29.222356262989592], [0.4, 28.339646323365855], [0.5, 29.173911359094745], [0.6, 29.358742771812558], [0.7, 29.136241694792602], [0.8, 27.933966849617605], [0.9, 29.262621660159994], [1.0, 29.36939068388267]]"
23.0,"[[0.0, 26.617196466785686], [0.1, 27.048041218033177], [0.2, 26.585525515369113], [0.3, 26.200961694997886], [0.4, 27.20810655320497], [0.5, 26.834572299478054], [0.6, 26.755373224366735], [0.7, 25.810698450061295], [0.8, 25.97445434982035], [0.9, 26.827205449761436], [1.0, 25.6475203094343]]"
22.0,"[[0.0, 23.777310813110603], [0.1, 24.658897736438007], [0.2, 24.997556311049152], [0.3, 24.28454095003815], [0.4, 24.91093170722354], [0.5, 24.3725540279637], [0.6, 24.08360552671786], [0.7, 24.5619336449422], [0.8, 24.55835916162448], [0.9, 23.952994226785904], [1.0, 24.29495342349128]]"
21.0,"[[0.0, 22.381232796107952], [0.1, 22.49743973353145], [0.2, 22.483611838179854], [0.3, 21.430484186473223], [0.4, 21.64517187786032], [0.5, 22.71825566270479], [0.6, 21.653079528385547], [0.7, 22.421886215446307], [0.8, 22.462580010590045], [0.9, 22.494836412492305], [1.0, 21.785761976301615]]"
20.0,"[[0.0, 19.55485679681965], [0.1, 19.45433789511833], [0.2, 20.435191230463374], [0.3, 20.40832315134037], [0.4, 19.425912263957798], [0.5, 19.418374880746455], [0.6, 19.701411472459654], [0.7, 20.51312881980266], [0.8, 20.19578430562069], [0.9, 20.354939347626555], [1.0, 20.337372575482163]]"
19.0,"[[0.0, 18.269967101908264], [0.1, 18.483778748719942], [0.2, 18.478323084087037], [0.3, 18.475618539618154], [0.4, 18.68109644789422], [0.5, 18.461453779728686], [0.6, 18.55109080259922], [0.7, 18.51362461875192], [0.8, 17.486053588399386], [0.9, 18.69785133247285], [1.0, 17.915881827634507]]"
